ProblemNo,Connection,Cost
27,14313 : 26 -> 27 ; 14266 : 19 -> 20 ; 23010 : 12 -> 13 ; 14308 : 6 -> 8 ; 14266 : 22 -> 25 ; 23010 : 17 -> 18 ; 14266 : 28 -> 32 ; 14204 : 2 -> 3 ; 14308 : 19 -> 21 ; 14266 : 34 -> 37 ; 14204 : 7 -> 8 ; 14266 : 38 -> 39 ; 14204 : 9 -> 11 ; 14266 : 42 -> 43 ; 14204 : 12 -> 13 ; 14266 : 44 -> 46 ; 14204 : 14 -> 16 ; 23010 : 38 -> 44,617
28,19269 : 20 -> 21,161
29,23010 : 44 -> 60,329
30,15901 : 8 -> 9 ; 12867 : 11 -> 12 ; 57258 : 81 -> 83 ; 17402 : 17 -> 18 ; 12734 : 20 -> 21 ; 17404 : 20 -> 21 ; 57258 : 88 -> 89 ; 02873 : 7 -> 8 ; 12644 : 17 -> 18 ; 12845 : 16 -> 17 ; 13351 : 77 -> 78 ; 12609 : 8 -> 10 ; 12688 : 26 -> 27 ; 06544 : 7 -> 8 ; 12863 : 31 -> 32 ; 12609 : 13 -> 16 ; 16525 : 44 -> 45 ; 12296 : 33 -> 34 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54701 : 31 -> 33 ; 19224 : 37 -> 38 ; 22982 : 9 -> 10 ; 08246 : 2 -> 3 ; 54703 : 38 -> 43 ; 12467 : 4 -> 6 ; 08243 : 30 -> 31 ; 54811 : 88 -> 89 ; 54703 : 51 -> 53 ; 54811 : 91 -> 92 ; 54703 : 54 -> 59 ; 04802 : 10 -> 11 ; 08243 : 32 -> 33 ; 54801 : 2 -> 6 ; 11089 : 2 -> 4 ; 54806 : 37 -> 41 ; 19708 : 10 -> 11 ; 54806 : 42 -> 44 ; 12479 : 5 -> 7 ; 19708 : 14 -> 17 ; 54806 : 51 -> 53 ; 19030 : 14 -> 15 ; 11089 : 6 -> 7 ; 19066 : 4 -> 5 ; 19574 : 12 -> 13,1368
31,19019 : 30 -> 32 ; 59393 : 9 -> 10 ; 19019 : 33 -> 35 ; 59393 : 12 -> 13 ; 19019 : 36 -> 38 ; 59393 : 15 -> 16 ; 19019 : 39 -> 40 ; 11463 : 25 -> 26 ; 19023 : 42 -> 43 ; 12415 : 5 -> 6 ; 19037 : 18 -> 19 ; 12415 : 7 -> 9 ; 08245 : 18 -> 19 ; 19019 : 50 -> 52 ; 08243 : 19 -> 20 ; 19019 : 56 -> 57 ; 54811 : 41 -> 42 ; 59811 : 32 -> 37 ; 54811 : 44 -> 47 ; 59811 : 40 -> 42 ; 29019 : 14 -> 15 ; 19019 : 63 -> 64 ; 13238 : 4 -> 5 ; 59811 : 49 -> 53 ; 09807 : 5 -> 6 ; 19023 : 59 -> 60 ; 19019 : 68 -> 69 ; 12964 : 14 -> 15 ; 09807 : 8 -> 9 ; 19023 : 63 -> 64 ; 13007 : 81 -> 82 ; 14309 : 20 -> 21 ; 11449 : 12 -> 13 ; 19019 : 77 -> 78 ; 16031 : 54 -> 55 ; 13007 : 90 -> 91 ; 12056 : 9 -> 10 ; 12031 : 1 -> 2 ; 14553 : 3 -> 4 ; 11077 : 42 -> 44 ; 12311 : 31 -> 32 ; 11077 : 45 -> 47 ; 14731 : 8 -> 9 ; 12057 : 5 -> 6 ; 14095 : 9 -> 11 ; 04923 : 6 -> 7 ; 12311 : 37 -> 39 ; 52457 : 1 -> 2,1067
32,17687 : 8 -> 9 ; 51421 : 41 -> 42 ; 17687 : 10 -> 11 ; 51421 : 43 -> 44 ; 17687 : 12 -> 13 ; 57515 : 36 -> 37 ; 57550 : 3 -> 4 ; 51421 : 47 -> 48 ; 17687 : 14 -> 15 ; 11201 : 12 -> 14 ; 17063 : 9 -> 10 ; 51421 : 59 -> 62 ; 57515 : 53 -> 54 ; 51421 : 63 -> 64 ; 51434 : 32 -> 33 ; 51421 : 65 -> 67 ; 57515 : 58 -> 59 ; 12719 : 17 -> 18 ; 11205 : 17 -> 18 ; 51421 : 75 -> 77 ; 57564 : 8 -> 9 ; 17063 : 16 -> 17 ; 51421 : 80 -> 82 ; 51434 : 50 -> 51 ; 51421 : 83 -> 84 ; 17640 : 11 -> 12 ; 17057 : 27 -> 29 ; 17406 : 14 -> 15 ; 57564 : 24 -> 26 ; 57620 : 2 -> 5 ; 57651 : 5 -> 6 ; 12748 : 7 -> 8 ; 12734 : 4 -> 5 ; 17232 : 12 -> 13 ; 12604 : 4 -> 5 ; 12734 : 7 -> 8 ; 07704 : 5 -> 6 ; 57651 : 19 -> 22 ; 07704 : 7 -> 8 ; 12704 : 5 -> 6 ; 06336 : 24 -> 25 ; 17239 : 9 -> 10 ; 57257 : 65 -> 66 ; 57271 : 11 -> 12 ; 57257 : 68 -> 71 ; 07708 : 11 -> 12 ; 57230 : 18 -> 19,959
33,12024 : 10 -> 11 ; 18620 : 9 -> 10 ; 13302 : 13 -> 14 ; 19607 : 8 -> 9 ; 11448 : 19 -> 20 ; 18109 : 13 -> 14 ; 11448 : 22 -> 23 ; 13347 : 6 -> 7 ; 11448 : 24 -> 25 ; 12873 : 9 -> 10 ; 11448 : 27 -> 30 ; 23348 : 22 -> 23 ; 84369 : 5 -> 6 ; 18109 : 21 -> 22 ; 18101 : 16 -> 17 ; 11448 : 33 -> 34 ; 84369 : 9 -> 10 ; 11448 : 35 -> 37 ; 11652 : 1 -> 3 ; 11448 : 38 -> 39 ; 11652 : 5 -> 6 ; 11448 : 40 -> 41 ; 11652 : 9 -> 10 ; 08891 : 6 -> 8 ; 12186 : 6 -> 7 ; 22912 : 24 -> 25 ; 11271 : 32 -> 33 ; 18236 : 52 -> 54 ; 11271 : 34 -> 35 ; 22162 : 6 -> 7 ; 12138 : 33 -> 34 ; 11016 : 21 -> 22 ; 11058 : 59 -> 60 ; 11271 : 43 -> 44 ; 18236 : 65 -> 67 ; 11464 : 11 -> 12 ; 59320 : 2 -> 10 ; 18234 : 57 -> 58 ; 11464 : 16 -> 17 ; 11472 : 15 -> 16 ; 11464 : 19 -> 21 ; 59320 : 21 -> 25 ; 08243 : 16 -> 17 ; 59320 : 32 -> 33 ; 59802 : 34 -> 35 ; 59320 : 34 -> 35 ; 19020 : 58 -> 59 ; 59320 : 36 -> 37 ; 12962 : 7 -> 8 ; 19020 : 63 -> 65 ; 59394 : 45 -> 47 ; 12962 : 9 -> 10 ; 59394 : 48 -> 49 ; 19020 : 68 -> 70 ; 11102 : 11 -> 12 ; 11464 : 28 -> 29 ; 19024 : 66 -> 67,1767
34,06228 : 2 -> 3 ; 16228 : 3 -> 5 ; 16205 : 4 -> 5 ; 06228 : 6 -> 8 ; 18112 : 6 -> 7 ; 16229 : 9 -> 10 ; 07324 : 6 -> 7 ; 56503 : 37 -> 38 ; 56502 : 24 -> 26 ; 56503 : 40 -> 41 ; 56502 : 27 -> 28 ; 56503 : 42 -> 43 ; 56502 : 29 -> 30 ; 56503 : 44 -> 45 ; 17212 : 8 -> 9 ; 56502 : 34 -> 35 ; 57305 : 47 -> 48 ; 56503 : 51 -> 52 ; 56502 : 38 -> 40 ; 56503 : 54 -> 55 ; 56502 : 41 -> 43 ; 56503 : 57 -> 58 ; 56502 : 44 -> 46 ; 56503 : 60 -> 61 ; 56502 : 47 -> 48 ; 57305 : 59 -> 60 ; 56502 : 49 -> 50 ; 56503 : 64 -> 66 ; 56502 : 53 -> 55 ; 57305 : 66 -> 67 ; 07712 : 10 -> 12 ; 12704 : 5 -> 6 ; 06336 : 24 -> 25 ; 18504 : 20 -> 21 ; 17016 : 16 -> 17 ; 17487 : 22 -> 24 ; 17239 : 16 -> 17 ; 57271 : 25 -> 26 ; 17487 : 26 -> 27 ; 57257 : 88 -> 90 ; 12728 : 13 -> 14 ; 17480 : 36 -> 37 ; 07712 : 21 -> 22 ; 57271 : 35 -> 37 ; 12728 : 17 -> 18 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57229 : 32 -> 33 ; 02509 : 5 -> 6 ; 12840 : 19 -> 20 ; 17016 : 28 -> 29 ; 17480 : 49 -> 51 ; 12840 : 21 -> 22 ; 18412 : 9 -> 10 ; 12507 : 28 -> 29 ; 12840 : 26 -> 27 ; 17480 : 61 -> 62 ; 18438 : 23 -> 24 ; 12844 : 38 -> 40 ; 17480 : 69 -> 71 ; 18646 : 40 -> 41,1591
35,15307 : 9 -> 11 ; 15651 : 29 -> 30 ; 13049 : 78 -> 81 ; 14235 : 27 -> 31 ; 13307 : 41 -> 42 ; 14235 : 35 -> 38 ; 13019 : 58 -> 59 ; 14235 : 39 -> 40 ; 54075 : 8 -> 9 ; 14307 : 37 -> 38 ; 54075 : 11 -> 12 ; 14235 : 44 -> 45 ; 13307 : 45 -> 46 ; 13151 : 60 -> 61 ; 54075 : 16 -> 25 ; 12039 : 5 -> 6 ; 14013 : 10 -> 11 ; 14257 : 26 -> 27 ; 54075 : 31 -> 33 ; 14555 : 13 -> 14 ; 54075 : 34 -> 35 ; 14013 : 12 -> 13 ; 14007 : 32 -> 33 ; 13119 : 87 -> 88 ; 12414 : 8 -> 9 ; 12015 : 2 -> 3 ; 12414 : 10 -> 11 ; 12461 : 6 -> 7 ; 12916 : 4 -> 5 ; 04736 : 8 -> 10 ; 14705 : 7 -> 9 ; 12371 : 22 -> 23 ; 04736 : 12 -> 14 ; 12457 : 10 -> 12 ; 04736 : 15 -> 18 ; 14888 : 12 -> 13 ; 54704 : 29 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 12578 : 4 -> 5 ; 15901 : 2 -> 3 ; 56213 : 20 -> 21 ; 06543 : 2 -> 3 ; 12608 : 4 -> 5 ; 06543 : 4 -> 5 ; 12608 : 6 -> 7 ; 22650 : 11 -> 12 ; 12610 : 11 -> 12 ; 06336 : 16 -> 17 ; 06066 : 13 -> 14 ; 12163 : 23 -> 24 ; 11017 : 20 -> 21 ; 16177 : 1 -> 2,1331
36,12138 : 2 -> 4 ; 19226 : 22 -> 23 ; 54703 : 5 -> 6 ; 54701 : 2 -> 4 ; 54703 : 8 -> 9 ; 54701 : 5 -> 7 ; 54703 : 10 -> 12 ; 54701 : 10 -> 11 ; 24887 : 21 -> 23 ; 54701 : 14 -> 15 ; 54703 : 16 -> 17 ; 54701 : 16 -> 18 ; 54703 : 18 -> 19 ; 19108 : 12 -> 13 ; 54701 : 20 -> 23 ; 22982 : 6 -> 7 ; 24887 : 27 -> 28 ; 54703 : 28 -> 29 ; 54701 : 30 -> 32 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 16210 : 4 -> 5 ; 16594 : 3 -> 4 ; 16592 : 12 -> 13 ; 11302 : 5 -> 6 ; 16569 : 3 -> 4 ; 11302 : 7 -> 8 ; 12786 : 8 -> 9 ; 12251 : 3 -> 4 ; 11014 : 15 -> 16 ; 17604 : 10 -> 11 ; 07712 : 3 -> 4 ; 17212 : 8 -> 9 ; 56502 : 34 -> 35 ; 57305 : 47 -> 48 ; 56503 : 51 -> 52 ; 56502 : 38 -> 40 ; 56503 : 54 -> 55 ; 56502 : 41 -> 43 ; 56503 : 57 -> 58 ; 56502 : 44 -> 46 ; 56503 : 60 -> 61 ; 56502 : 47 -> 48 ; 57305 : 59 -> 60 ; 56502 : 49 -> 50 ; 56503 : 64 -> 66 ; 56502 : 53 -> 55 ; 57305 : 66 -> 67 ; 07712 : 10 -> 12 ; 12704 : 5 -> 6 ; 06336 : 24 -> 25 ; 18504 : 20 -> 21 ; 17016 : 16 -> 17 ; 17487 : 22 -> 24 ; 17239 : 16 -> 17 ; 57271 : 25 -> 26 ; 17487 : 26 -> 27 ; 57257 : 88 -> 90 ; 12728 : 13 -> 14 ; 17480 : 36 -> 37 ; 07712 : 21 -> 22 ; 57271 : 35 -> 37 ; 12728 : 17 -> 18 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57229 : 32 -> 33 ; 02509 : 5 -> 6 ; 12840 : 19 -> 20 ; 17016 : 28 -> 29 ; 17480 : 49 -> 51 ; 12840 : 21 -> 22 ; 18412 : 9 -> 10 ; 12507 : 28 -> 29 ; 12840 : 26 -> 27 ; 17480 : 61 -> 62 ; 18438 : 23 -> 24 ; 12844 : 38 -> 40 ; 17480 : 69 -> 71 ; 18646 : 40 -> 41 ; 18464 : 45 -> 46 ; 18410 : 4 -> 5 ; 18646 : 43 -> 44 ; 18416 : 5 -> 6,1872
37,54602 : 21 -> 22 ; 11450 : 8 -> 9 ; 14036 : 10 -> 11 ; 54602 : 25 -> 27 ; 04414 : 8 -> 9 ; 14036 : 13 -> 14 ; 16032 : 24 -> 26 ; 19024 : 18 -> 20 ; 12482 : 13 -> 14 ; 14036 : 16 -> 17 ; 19024 : 22 -> 24 ; 11450 : 15 -> 17 ; 11058 : 33 -> 34 ; 12904 : 14 -> 15 ; 11058 : 35 -> 36 ; 14212 : 7 -> 13 ; 09808 : 3 -> 4 ; 13237 : 20 -> 21 ; 59812 : 15 -> 17 ; 19020 : 29 -> 30 ; 12926 : 21 -> 22 ; 13237 : 23 -> 24 ; 19020 : 33 -> 34 ; 59812 : 27 -> 30 ; 08244 : 12 -> 13 ; 12466 : 16 -> 17 ; 22982 : 26 -> 27 ; 29020 : 26 -> 27 ; 19020 : 40 -> 41 ; 12466 : 18 -> 19 ; 19020 : 42 -> 43 ; 59802 : 17 -> 19 ; 19020 : 44 -> 45 ; 12968 : 5 -> 6 ; 12970 : 6 -> 7 ; 19020 : 47 -> 48 ; 12416 : 11 -> 12 ; 12466 : 22 -> 23 ; 12416 : 13 -> 14 ; 12466 : 24 -> 25 ; 19020 : 53 -> 56 ; 12968 : 10 -> 11 ; 52973 : 1 -> 11 ; 52993 : 5 -> 6 ; 52973 : 12 -> 13 ; 52993 : 7 -> 8 ; 52973 : 14 -> 19 ; 52993 : 13 -> 14 ; 52973 : 20 -> 24 ; 15646 : 42 -> 43 ; 11062 : 27 -> 28 ; 01712 : 9 -> 10 ; 12656 : 28 -> 29 ; 59014 : 9 -> 12,1405
38,16307 : 23 -> 24 ; 16313 : 20 -> 21 ; 16606 : 30 -> 31 ; 16305 : 15 -> 16 ; 12601 : 23 -> 24 ; 12082 : 15 -> 16 ; 16336 : 22 -> 23 ; 16347 : 39 -> 40 ; 12601 : 26 -> 28 ; 22610 : 12 -> 13 ; 16859 : 47 -> 48 ; 16347 : 47 -> 49 ; 16606 : 41 -> 43 ; 16518 : 5 -> 6 ; 16336 : 26 -> 27 ; 12620 : 2 -> 3 ; 56640 : 5 -> 9 ; 10216 : 11 -> 12 ; 16346 : 33 -> 34 ; 12620 : 9 -> 10 ; 11098 : 18 -> 19 ; 12620 : 11 -> 13 ; 12202 : 17 -> 18 ; 56640 : 25 -> 28 ; 16346 : 37 -> 38 ; 12202 : 19 -> 20 ; 10104 : 3 -> 4 ; 12741 : 3 -> 4 ; 10104 : 6 -> 8 ; 19259 : 25 -> 26 ; 50104 : 1 -> 2 ; 50106 : 13 -> 14 ; 50104 : 3 -> 4 ; 10104 : 14 -> 15,1081
39,58112 : 78 -> 79 ; 12872 : 13 -> 14 ; 18418 : 15 -> 16 ; 18006 : 30 -> 33 ; 18029 : 64 -> 65 ; 58112 : 87 -> 88 ; 58114 : 41 -> 42 ; 58112 : 89 -> 90 ; 58114 : 43 -> 44 ; 18029 : 66 -> 67 ; 12872 : 17 -> 18 ; 13287 : 20 -> 21 ; 58112 : 98 -> 99 ; 58012 : 2 -> 6 ; 13287 : 26 -> 28 ; 12865 : 9 -> 10 ; 13302 : 4 -> 5 ; 13287 : 30 -> 31 ; 02511 : 13 -> 14 ; 53049 : 20 -> 22 ; 13007 : 9 -> 12 ; 18449 : 19 -> 20 ; 22843 : 14 -> 15 ; 53049 : 34 -> 36 ; 83131 : 6 -> 7 ; 53049 : 37 -> 39 ; 83131 : 8 -> 9 ; 18183 : 17 -> 19 ; 12351 : 11 -> 12 ; 83131 : 12 -> 13 ; 13021 : 21 -> 22 ; 13419 : 11 -> 12 ; 13019 : 20 -> 26 ; 11123 : 4 -> 6 ; 14018 : 33 -> 34,728
40,15111 : 4 -> 13 ; 14203 : 1 -> 7 ; 14308 : 34 -> 35,3
41,14313 : 15 -> 27 ; 14308 : 1 -> 18,2
42,23010 : 58 -> 59,1
43,14266 : 8 -> 14,1
44,15043 : 9 -> 11,1
45,15043 : 5 -> 7,1
46,23010 : 35 -> 62,2
47,14313 : 14 -> 27 ; 23010 : 9 -> 64,3
48,23010 : 2 -> 32,2
49,14266 : 35 -> 50 ; 23010 : 38 -> 68,3
50,18204 : 2 -> 7 ; 12540 : 6 -> 12 ; 12646 : 13 -> 21 ; 22651 : 6 -> 13,4
51,19454 : 18 -> 30 ; 16334 : 49 -> 57,2
52,57129 : 30 -> 42 ; 17014 : 3 -> 11 ; 51433 : 47 -> 48,3
53,12401 : 3 -> 19 ; 18631 : 29 -> 35 ; 59811 : 57 -> 62,3
54,59811 : 28 -> 30 ; 14709 : 12 -> 26,3
55,12894 : 2 -> 15 ; 15227 : 18 -> 31 ; 15653 : 12 -> 28,3
56,11043 : 4 -> 19 ; 12864 : 9 -> 29 ; 18416 : 5 -> 8,3
57,59440 : 34 -> 36 ; 18402 : 11 -> 26 ; 12646 : 13 -> 23 ; 12083 : 7 -> 8,4
58,50104 : 5 -> 38 ; 12859 : 2 -> 17 ; 13287 : 1 -> 14,3
59,59208 : 27 -> 34 ; 15046 : 7 -> 24 ; 16032 : 38 -> 57 ; 17234 : 17 -> 18,4
60,23010 : 9 -> 29,01:12:22:00
61,14266 : 10 -> 17 ; 19269 : 21 -> 27,02:10:50:00
62,23010 : 25 -> 32,01:13:31:00
63,23010 : 67 -> 68,01:05:40:00
64,15111 : 6 -> 13 ; 14203 : 1 -> 13 ; 54253 : 21 -> 31 ; 19269 : 24 -> 32,02:16:13:00
65,23010 : 62 -> 65,01:03:08:00
66,23010 : 65 -> 67,01:04:22:00
67,23010 : 63 -> 71,01:06:55:00
68,23010 : 14 -> 42,00:17:55:00
69,14266 : 24 -> 42,01:12:10:00
70,16176 : 5 -> 6 ; 22624 : 6 -> 12 ; 12390 : 1 -> 2 ; 12641 : 18 -> 21 ; 12651 : 14 -> 15 ; 12641 : 24 -> 25 ; 12143 : 8 -> 11 ; 12355 : 11 -> 12,02:20:48:00
71,22892 : 10 -> 13 ; 12245 : 2 -> 3 ; 18473 : 4 -> 13 ; 18030 : 24 -> 52 ; 58839 : 2 -> 32,01:22:20:00
72,13152 : 32 -> 33 ; 12435 : 24 -> 25 ; 14258 : 2 -> 3 ; 19566 : 14 -> 15 ; 12716 : 13 -> 21 ; 22110 : 4 -> 8 ; 17318 : 2 -> 4 ; 17013 : 1 -> 3 ; 01420 : 10 -> 16 ; 11047 : 1 -> 5,02:00:54:00
73,51027 : 6 -> 10 ; 17204 : 20 -> 22 ; 16614 : 25 -> 26 ; 59440 : 48 -> 53 ; 12471 : 4 -> 5 ; 16587 : 16 -> 29 ; 15631 : 4 -> 6 ; 19224 : 43 -> 44,02:04:08:00
74,57550 : 3 -> 5 ; 17687 : 14 -> 15 ; 11402 : 22 -> 25 ; 17058 : 20 -> 22 ; 12149 : 6 -> 9 ; 22111 : 4 -> 8 ; 13202 : 23 -> 24 ; 12720 : 14 -> 15 ; 12001 : 2 -> 10 ; 11449 : 15 -> 16 ; 12205 : 1 -> 3 ; 54078 : 5 -> 14 ; 15011 : 7 -> 11,02:08:18:00
75,12642 : 1 -> 2 ; 11078 : 32 -> 45 ; 12434 : 5 -> 6 ; 12612 : 6 -> 8 ; 12626 : 14 -> 15 ; 07718 : 13 -> 17 ; 57477 : 1 -> 9,02:01:05:00
76,56640 : 22 -> 30 ; 10112 : 1 -> 2 ; 22655 : 15 -> 16 ; 12620 : 18 -> 20 ; 22653 : 17 -> 18 ; 16587 : 13 -> 29 ; 15631 : 4 -> 6 ; 16587 : 31 -> 32 ; 22471 : 1 -> 2,02:09:38:00
77,16232 : 20 -> 21 ; 11043 : 26 -> 27 ; 22630 : 5 -> 7 ; 12678 : 10 -> 16 ; 12627 : 2 -> 21 ; 51422 : 50 -> 51,02:14:07:00
78,58835 : 12 -> 14 ; 58838 : 5 -> 15 ; 12612 : 6 -> 8 ; 12434 : 8 -> 9 ; 22639 : 1 -> 7 ; 16858 : 13 -> 14 ; 16609 : 10 -> 11,02:04:04:00
79,13071 : 17 -> 21 ; 14055 : 44 -> 46 ; 18629 : 11 -> 12 ; 12569 : 8 -> 11 ; 13348 : 1 -> 15 ; 18311 : 28 -> 30 ; 12321 : 15 -> 18 ; 12389 : 5 -> 11 ; 12808 : 10 -> 13 ; 12389 : 12 -> 13 ; 12648 : 12 -> 14 ; 57305 : 1 -> 17,02:14:16:00
