ProblemNo,Connection,Cost
30,13119 : 24 -> 26 ; 03235 : 4 -> 5 ; 13071 : 16 -> 17 ; 03235 : 6 -> 9 ; 12335 : 3 -> 4 ; 03235 : 10 -> 11 ; 12367 : 5 -> 6 ; 13413 : 13 -> 15 ; 03401 : 17 -> 18 ; 03235 : 17 -> 19 ; 13007 : 30 -> 31 ; 03235 : 20 -> 21 ; 13247 : 39 -> 40 ; 13007 : 33 -> 34 ; 83131 : 30 -> 31 ; 13245 : 33 -> 34 ; 83131 : 32 -> 33 ; 13007 : 36 -> 37 ; 03401 : 26 -> 27 ; 13201 : 3 -> 4 ; 13007 : 40 -> 41 ; 12333 : 18 -> 20 ; 13007 : 45 -> 46 ; 13119 : 69 -> 70 ; 12333 : 21 -> 23 ; 13201 : 8 -> 9 ; 13049 : 48 -> 51 ; 12401 : 16 -> 17 ; 13237 : 5 -> 6 ; 19051 : 13 -> 14 ; 13049 : 59 -> 61 ; 13307 : 18 -> 19 ; 13049 : 63 -> 64 ; 14227 : 2 -> 3 ; 12331 : 18 -> 19,606
31,58501 : 16 -> 24 ; 18006 : 3 -> 4 ; 18448 : 6 -> 17 ; 12807 : 8 -> 9 ; 18437 : 24 -> 26 ; 12375 : 16 -> 17 ; 08302 : 22 -> 24 ; 12375 : 19 -> 20 ; 12872 : 5 -> 7 ; 12375 : 21 -> 22 ; 12872 : 10 -> 12 ; 13287 : 14 -> 15 ; 18418 : 15 -> 16 ; 18006 : 30 -> 33 ; 18029 : 64 -> 65 ; 58112 : 87 -> 88 ; 58114 : 41 -> 42 ; 58112 : 89 -> 90 ; 58114 : 43 -> 44 ; 18029 : 66 -> 67 ; 12872 : 17 -> 18 ; 13287 : 20 -> 21 ; 58112 : 98 -> 99 ; 58012 : 2 -> 6 ; 13287 : 26 -> 28 ; 12865 : 9 -> 10 ; 13302 : 4 -> 5 ; 13287 : 30 -> 31 ; 02511 : 13 -> 14 ; 53049 : 20 -> 22 ; 13007 : 9 -> 12 ; 18449 : 19 -> 20 ; 22843 : 14 -> 15 ; 53049 : 34 -> 36 ; 83131 : 6 -> 7 ; 53049 : 37 -> 39 ; 83131 : 8 -> 9 ; 18183 : 17 -> 19 ; 12351 : 11 -> 12 ; 83131 : 12 -> 13 ; 13413 : 14 -> 15 ; 03401 : 17 -> 18 ; 03235 : 17 -> 19,1255
32,56502 : 63 -> 66 ; 57652 : 13 -> 20 ; 17221 : 10 -> 11 ; 12603 : 17 -> 18 ; 17231 : 13 -> 14 ; 07703 : 15 -> 16 ; 12747 : 7 -> 8 ; 12733 : 20 -> 22 ; 57626 : 33 -> 34 ; 57619 : 20 -> 21 ; 12976 : 30 -> 31 ; 19713 : 32 -> 33 ; 11020 : 25 -> 26 ; 12026 : 2 -> 3 ; 57130 : 6 -> 8 ; 12747 : 14 -> 15 ; 17429 : 6 -> 7 ; 16593 : 15 -> 17 ; 11303 : 9 -> 10 ; 16572 : 5 -> 6 ; 11303 : 11 -> 12 ; 12702 : 7 -> 8 ; 11018 : 25 -> 26 ; 17320 : 10 -> 11 ; 11014 : 27 -> 28 ; 11028 : 34 -> 37 ; 16217 : 17 -> 18 ; 51450 : 11 -> 13 ; 11028 : 41 -> 43 ; 12116 : 6 -> 7 ; 17032 : 18 -> 19 ; 51402 : 27 -> 29 ; 51422 : 70 -> 71 ; 11078 : 64 -> 65 ; 11024 : 18 -> 19 ; 11008 : 2 -> 3 ; 51028 : 11 -> 12 ; 51030 : 17 -> 18 ; 11010 : 4 -> 5 ; 51028 : 14 -> 15 ; 51030 : 20 -> 21 ; 11024 : 22 -> 23 ; 11008 : 4 -> 5 ; 12116 : 9 -> 10 ; 11008 : 6 -> 7 ; 11026 : 4 -> 8 ; 11101 : 4 -> 5,1065
33,13023 : 29 -> 30 ; 15620 : 20 -> 21 ; 12321 : 13 -> 14 ; 13307 : 9 -> 10 ; 12389 : 2 -> 3 ; 12175 : 11 -> 12 ; 12397 : 8 -> 9 ; 13151 : 34 -> 35 ; 19051 : 13 -> 14 ; 12537 : 12 -> 13 ; 15004 : 15 -> 16 ; 11062 : 13 -> 14 ; 12561 : 14 -> 15 ; 15004 : 21 -> 22 ; 13007 : 57 -> 59 ; 15004 : 24 -> 25 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 13007 : 62 -> 64 ; 12179 : 4 -> 5 ; 18109 : 36 -> 37 ; 12179 : 6 -> 7 ; 14217 : 20 -> 21 ; 13007 : 69 -> 70 ; 15707 : 30 -> 31 ; 12179 : 10 -> 11 ; 12942 : 16 -> 17 ; 12496 : 13 -> 14 ; 12195 : 3 -> 4 ; 14853 : 19 -> 20 ; 12195 : 5 -> 6 ; 19716 : 13 -> 14 ; 54834 : 28 -> 32 ; 14853 : 24 -> 25 ; 12036 : 3 -> 4 ; 22981 : 10 -> 11 ; 54811 : 66 -> 68 ; 14311 : 27 -> 28 ; 09721 : 2 -> 3 ; 54806 : 7 -> 11 ; 14311 : 30 -> 31 ; 54806 : 12 -> 13 ; 09628 : 13 -> 14 ; 12547 : 4 -> 5 ; 54802 : 2 -> 3 ; 19032 : 26 -> 27 ; 54806 : 29 -> 34 ; 19032 : 28 -> 29 ; 54806 : 37 -> 41 ; 19708 : 10 -> 11 ; 54806 : 42 -> 44 ; 12479 : 5 -> 7 ; 19708 : 14 -> 17 ; 54806 : 51 -> 53 ; 19030 : 14 -> 15 ; 11089 : 6 -> 7 ; 14806 : 14 -> 15,1601
34,53140 : 6 -> 7 ; 12340 : 5 -> 6 ; 06335 : 15 -> 16,54
35,56503 : 23 -> 26 ; 11014 : 15 -> 16 ; 17604 : 10 -> 11 ; 07712 : 3 -> 4 ; 12193 : 6 -> 7 ; 12786 : 13 -> 14 ; 12765 : 10 -> 11 ; 16569 : 12 -> 13 ; 57306 : 44 -> 47 ; 16569 : 14 -> 15 ; 12647 : 18 -> 19 ; 12213 : 9 -> 10 ; 12251 : 11 -> 15 ; 12852 : 10 -> 13 ; 12833 : 37 -> 39 ; 12811 : 11 -> 12 ; 08246 : 29 -> 30 ; 18029 : 45 -> 47 ; 58112 : 32 -> 33 ; 58529 : 6 -> 8 ; 58112 : 34 -> 35 ; 58529 : 9 -> 12,1197
36,11020 : 4 -> 5 ; 12508 : 25 -> 26 ; 15228 : 22 -> 23 ; 22809 : 14 -> 15 ; 12839 : 17 -> 18 ; 57271 : 54 -> 55 ; 58530 : 11 -> 12 ; 57271 : 56 -> 60 ; 58530 : 16 -> 17 ; 57271 : 61 -> 62 ; 12807 : 5 -> 6 ; 57271 : 63 -> 66 ; 58530 : 22 -> 24 ; 17482 : 50 -> 51 ; 12807 : 8 -> 9 ; 18437 : 24 -> 26 ; 12375 : 16 -> 17 ; 08302 : 22 -> 23 ; 12146 : 14 -> 15 ; 17482 : 59 -> 60 ; 58530 : 41 -> 43 ; 17482 : 61 -> 62 ; 12807 : 18 -> 19 ; 58530 : 46 -> 49 ; 12843 : 22 -> 23 ; 08243 : 3 -> 4 ; 18030 : 40 -> 42 ; 12069 : 12 -> 13 ; 12130 : 12 -> 13 ; 58111 : 77 -> 81 ; 18030 : 45 -> 46 ; 12834 : 27 -> 28 ; 58111 : 84 -> 87 ; 12834 : 29 -> 30 ; 12106 : 2 -> 3 ; 58111 : 90 -> 96 ; 18030 : 51 -> 53 ; 11046 : 22 -> 23 ; 12140 : 4 -> 5 ; 12656 : 19 -> 20 ; 12810 : 25 -> 26 ; 08295 : 10 -> 11 ; 12421 : 5 -> 6 ; 51196 : 24 -> 25 ; 18030 : 69 -> 70 ; 01712 : 9 -> 10 ; 12656 : 28 -> 29 ; 59014 : 9 -> 15 ; 12834 : 50 -> 51 ; 12656 : 30 -> 31 ; 12834 : 52 -> 53 ; 59078 : 16 -> 21 ; 59026 : 19 -> 20 ; 12656 : 33 -> 34 ; 19215 : 23 -> 24 ; 19033 : 10 -> 11 ; 19011 : 15 -> 17 ; 19017 : 11 -> 12 ; 19019 : 13 -> 14 ; 19059 : 6 -> 7 ; 11464 : 30 -> 31 ; 19033 : 21 -> 22 ; 19011 : 23 -> 24 ; 59439 : 63 -> 65 ; 19033 : 24 -> 25 ; 59439 : 68 -> 71 ; 11088 : 16 -> 17 ; 19566 : 32 -> 33 ; 12942 : 30 -> 31 ; 59208 : 43 -> 44,2048
37,22606 : 25 -> 26 ; 18419 : 9 -> 10 ; 12827 : 5 -> 7 ; 12885 : 7 -> 8 ; 58011 : 14 -> 16 ; 06336 : 41 -> 42 ; 22875 : 8 -> 10 ; 12883 : 11 -> 12 ; 12815 : 14 -> 15 ; 58013 : 29 -> 32 ; 12815 : 17 -> 18 ; 12825 : 4 -> 5 ; 12801 : 16 -> 17 ; 28624 : 17 -> 18 ; 13151 : 19 -> 21 ; 18624 : 18 -> 19 ; 12321 : 13 -> 14 ; 13307 : 9 -> 10 ; 12389 : 2 -> 3 ; 12175 : 11 -> 12 ; 12397 : 8 -> 9 ; 13151 : 34 -> 35 ; 19051 : 13 -> 14 ; 12537 : 12 -> 13 ; 15004 : 15 -> 16 ; 11062 : 13 -> 14 ; 12561 : 14 -> 15 ; 15004 : 21 -> 22 ; 13007 : 57 -> 59 ; 15004 : 24 -> 25 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 13007 : 62 -> 64 ; 12179 : 4 -> 5 ; 18109 : 36 -> 37 ; 12179 : 6 -> 7 ; 14217 : 20 -> 21 ; 13007 : 69 -> 70 ; 15707 : 30 -> 31 ; 12179 : 10 -> 11 ; 12942 : 16 -> 17 ; 12496 : 13 -> 14 ; 12195 : 3 -> 4 ; 14853 : 19 -> 20 ; 12195 : 5 -> 6 ; 19716 : 13 -> 14 ; 54834 : 28 -> 32 ; 14853 : 24 -> 25 ; 12036 : 3 -> 4 ; 22981 : 10 -> 11 ; 54811 : 66 -> 68 ; 14311 : 27 -> 28 ; 16864 : 36 -> 37 ; 18473 : 41 -> 42 ; 54811 : 81 -> 86 ; 08243 : 30 -> 31 ; 54811 : 88 -> 89 ; 54703 : 51 -> 53 ; 54811 : 91 -> 92 ; 54703 : 54 -> 59 ; 04802 : 10 -> 11 ; 08243 : 32 -> 33 ; 54801 : 2 -> 6 ; 14803 : 2 -> 3 ; 14805 : 34 -> 36 ; 24887 : 40 -> 41,1925
38,09608 : 4 -> 5 ; 09722 : 3 -> 4 ; 13424 : 5 -> 6 ; 19019 : 56 -> 57 ; 54811 : 41 -> 42 ; 59811 : 32 -> 37 ; 54811 : 44 -> 47 ; 59811 : 40 -> 42 ; 29019 : 14 -> 15 ; 19019 : 63 -> 64 ; 13238 : 4 -> 5 ; 59811 : 49 -> 53 ; 09807 : 5 -> 6 ; 19023 : 59 -> 60 ; 19019 : 68 -> 69 ; 12964 : 14 -> 15 ; 12495 : 7 -> 8,557
39,11034 : 21 -> 22 ; 12103 : 8 -> 9 ; 11077 : 22 -> 23 ; 11015 : 26 -> 27 ; 11465 : 40 -> 41 ; 11077 : 25 -> 26 ; 19165 : 29 -> 30 ; 18237 : 36 -> 37 ; 12861 : 50 -> 51 ; 11015 : 30 -> 31 ; 19665 : 6 -> 7 ; 11077 : 30 -> 32 ; 12001 : 5 -> 6 ; 12177 : 33 -> 34 ; 14317 : 17 -> 18 ; 11077 : 36 -> 37 ; 19023 : 63 -> 64 ; 13007 : 81 -> 82 ; 14309 : 20 -> 21 ; 11449 : 12 -> 13 ; 19019 : 77 -> 78 ; 16031 : 54 -> 55 ; 13007 : 90 -> 91 ; 12056 : 9 -> 10 ; 12031 : 1 -> 2 ; 14553 : 3 -> 4 ; 11077 : 42 -> 44 ; 12311 : 31 -> 32 ; 11077 : 45 -> 47 ; 14731 : 8 -> 9 ; 12057 : 5 -> 6 ; 14095 : 9 -> 11 ; 12715 : 29 -> 30 ; 12459 : 8 -> 9 ; 14553 : 14 -> 19 ; 12325 : 15 -> 16 ; 12057 : 12 -> 13 ; 14553 : 23 -> 25,1203
40,14266 : 26 -> 31 ; 19269 : 24 -> 26,2
41,14266 : 39 -> 50 ; 23010 : 38 -> 66,3
42,14308 : 2 -> 11 ; 19269 : 24 -> 30,2
43,15111 : 1 -> 13 ; 23010 : 38 -> 56,2
44,14204 : 13 -> 16 ; 23010 : 38 -> 56,2
45,14313 : 10 -> 27 ; 14266 : 19 -> 39 ; 14308 : 31 -> 32,4
46,23010 : 46 -> 60,2
47,14266 : 45 -> 46 ; 14203 : 3 -> 9 ; 14307 : 12 -> 13,3
48,14266 : 26 -> 30,1
49,19269 : 5 -> 21 ; 23010 : 7 -> 35,3
50,23154 : 2 -> 15 ; 15930 : 27 -> 43 ; 02882 : 1 -> 5 ; 12591 : 31 -> 33,4
51,16594 : 17 -> 44 ; 11045 : 12 -> 27 ; 15017 : 39 -> 47,3
52,15960 : 24 -> 44 ; 12552 : 9 -> 22 ; 15906 : 34 -> 49 ; 16859 : 21 -> 22,4
53,19612 : 23 -> 31 ; 12719 : 1 -> 5 ; 59811 : 15 -> 16,3
54,74639 : 1 -> 2,1
55,13152 : 16 -> 37 ; 13430 : 5 -> 23 ; 15643 : 17 -> 21,3
56,15004 : 19 -> 21 ; 12540 : 5 -> 12 ; 14260 : 13 -> 30,3
57,18448 : 15 -> 18 ; 12376 : 14 -> 22 ; 56501 : 1 -> 48,3
58,12647 : 6 -> 10 ; 12649 : 1 -> 7 ; 13026 : 1 -> 9 ; 11447 : 5 -> 6,4
59,57271 : 21 -> 54 ; 15901 : 14 -> 24 ; 15629 : 26 -> 33 ; 05817 : 3 -> 6,4
60,23010 : 33 -> 41,01:17:46:00
61,23010 : 60 -> 61,01:01:15:00
62,14266 : 24 -> 25 ; 23010 : 17 -> 38 ; 14203 : 1 -> 13 ; 54253 : 21 -> 24,01:21:48:00
63,23010 : 58 -> 62,01:01:59:00
64,19269 : 18 -> 22 ; 15043 : 2 -> 11,01:14:55:00
65,14308 : 18 -> 21,01:00:35:00
66,19269 : 31 -> 33,00:18:10:00
67,23010 : 11 -> 38 ; 14203 : 1 -> 13 ; 54253 : 21 -> 26,01:22:07:00
68,23010 : 30 -> 64,02:02:45:00
69,19269 : 19 -> 22 ; 23010 : 9 -> 14,01:05:49:00
70,22843 : 12 -> 22 ; 12742 : 1 -> 3 ; 19048 : 14 -> 15 ; 13414 : 28 -> 30,00:17:36:00
71,19943 : 8 -> 9 ; 16534 : 24 -> 25 ; 16532 : 33 -> 35 ; 16312 : 37 -> 40 ; 04801 : 1 -> 6,01:18:32:00
72,12404 : 12 -> 15 ; 12402 : 8 -> 12 ; 12354 : 10 -> 12 ; 13024 : 1 -> 18,01:17:59:00
73,17404 : 4 -> 8 ; 17249 : 8 -> 11 ; 07707 : 16 -> 18 ; 57626 : 12 -> 15 ; 12737 : 14 -> 17 ; 12975 : 17 -> 21 ; 12967 : 8 -> 11 ; 12669 : 11 -> 12 ; 11203 : 1 -> 4 ; 12615 : 21 -> 25 ; 12779 : 24 -> 25 ; 19414 : 16 -> 25 ; 54806 : 25 -> 31,02:12:46:00
74,17402 : 2 -> 7 ; 17210 : 10 -> 11 ; 02509 : 4 -> 5 ; 12728 : 20 -> 21 ; 12807 : 1 -> 3 ; 22604 : 12 -> 14 ; 15905 : 33 -> 43 ; 13287 : 33 -> 38 ; 83131 : 7 -> 13 ; 13135 : 11 -> 12 ; 12204 : 21 -> 25,02:10:10:00
75,56503 : 60 -> 61 ; 17212 : 12 -> 17 ; 02878 : 8 -> 11 ; 12840 : 14 -> 17 ; 18464 : 31 -> 33 ; 22854 : 1 -> 4 ; 18464 : 36 -> 45 ; 12838 : 5 -> 13 ; 13417 : 5 -> 15 ; 12363 : 4 -> 6 ; 15643 : 17 -> 20 ; 12363 : 9 -> 11,02:19:25:00
76,23225 : 9 -> 10 ; 12203 : 4 -> 5 ; 13022 : 23 -> 25 ; 13132 : 70 -> 80 ; 12360 : 8 -> 11 ; 13288 : 19 -> 22 ; 12828 : 2 -> 13 ; 12262 : 2 -> 3 ; 12214 : 9 -> 11 ; 17036 : 9 -> 14 ; 17405 : 46 -> 48,01:21:41:00
77,56214 : 15 -> 17 ; 12863 : 31 -> 32 ; 17312 : 20 -> 21 ; 12608 : 6 -> 7 ; 12610 : 10 -> 12 ; 12295 : 6 -> 7 ; 12578 : 8 -> 9 ; 02509 : 3 -> 11 ; 12311 : 1 -> 4 ; 12333 : 5 -> 13 ; 14224 : 15 -> 18,03:04:38:00
78,12625 : 5 -> 6 ; 16562 : 3 -> 5 ; 12515 : 7 -> 8 ; 16525 : 25 -> 30 ; 22150 : 18 -> 19 ; 22208 : 4 -> 5 ; 16316 : 18 -> 24 ; 16217 : 5 -> 10 ; 12164 : 10 -> 19 ; 51450 : 1 -> 17,02:02:03:00
79,52993 : 8 -> 18 ; 11033 : 8 -> 9 ; 15023 : 13 -> 15 ; 12151 : 8 -> 13 ; 12145 : 11 -> 18 ; 13351 : 23 -> 24,01:22:56:00
